#Chromosome	Start	End	Gene	Transcript
chr1	6161847	6240381	CHD5	NM_015557.3
chr1	6245080	6259655	RPL22	NM_000983.4
chr1	6266179	6281359	RNF207	NM_207396.3
chr1	6281253	6296024	ICMT	NM_012405.4
chr1	6304239	6305638	HES3	NM_001024598.4
chr1	6307413	6321158	GPR153	NM_207370.4
chr1	6324332	6453827	ACOT7	NM_007274.4
chr1	6475292	6479979	HES2	NM_019089.5
chr1	6484836	6521004	ESPN	NM_031475.3
chr1	6520846	6526233	TNFRSF25	NM_003790.3
chr1	6526152	6580152	PLEKHG5	NM_020631.6
chr1	6581407	6614573	NOL9	NM_024654.5
chr1	6615367	6639815	TAS1R1	NM_138697.4
chr1	6640054	6649340	ZBTB48	NM_005341.4
chr1	6650784	6662929	KLHL21	NM_014851.4
chr1	6673791	6684090	PHF13	NM_153812.3
chr1	6684928	6695646	THAP3	NM_001195753.2
chr1	6694230	6761876	DNAJC11	NM_018198.4
chr1	6845514	7829766	CAMTA1	NM_015215.4
chr1	7831356	7841492	VAMP3	NM_004781.4
chr1	7844351	7905237	PER3	NM_001377275.1
chr1	7907672	7913551	UTS2	NM_006786.4
chr1	7975931	8000899	TNFRSF9	NM_001561.6
chr1	8021771	8045565	PARK7	NM_007262.5
chr1	8071787	8086369	ERRFI1	NM_018948.4
chr1	8378174	8404225	SLC45A1	NM_001080397.3
chr1	8412464	8877699	RERE	NM_001042681.2
chr1	8921059	8938745	ENO1	NM_001428.5
chr1	9005927	9035151	CA6	NM_001215.4
chr1	9063032	9086482	SLC2A7	NM_207420.3
chr1	9095165	9132318	SLC2A5	NM_003039.3
chr1	9160364	9189161	GPR157	NM_024980.5
chr1	9294833	9331396	H6PD	NM_004285.4
chr1	9352953	9429591	SPSB1	NM_025106.4
chr1	9599524	9645231	SLC25A33	NM_032315.3
chr1	9648969	9674935	TMEM201	NM_001130924.3
chr1	9711789	9789172	PIK3CD	NM_005026.5
chr1	9788984	9884584	CLSTN1	NM_001009566.3
chr1	9908334	9970327	CTNNBIP1	NM_020248.3
chr1	9982176	10003449	LZIC	NM_032368.5
chr1	10002981	10045556	NMNAT1	NM_022787.4
chr1	10057286	10076079	RBP7	NM_052960.3
chr1	10093016	10241297	UBE4B	NM_001105562.3
chr1	10270628	10441661	KIF1B	NM_001365951.3
chr1	10459121	10480568	PGD	NM_002631.4
chr1	10490490	10502865	CENPS	NM_199294.3
chr1	10510088	10512055	CORT	NM_001302.5
chr1	10516579	10532586	DFFA	NM_004401.3
chr1	10535007	10690815	PEX14	NM_004565.3
chr1	10696661	10856703	CASZ1	NM_001079843.3
chr1	11006530	11042094	C1orf127	NM_001170754.1
chr1	11072711	11085549	TARDBP	NM_007375.4
chr1	11086580	11107296	MASP2	NM_006610.4
chr1	11114646	11120075	SRM	NM_003132.3
chr1	11126675	11159926	EXOSC10	NM_001001998.3
chr1	11166592	11322608	MTOR	NM_004958.4
chr1	11249412	11256038	ANGPTL7	NM_021146.4
chr1	11333255	11359631	UBIAD1	NM_013319.3
chr1	11539212	11597608	DISP3	NM_020780.2
chr1	11708444	11714486	FBXO2	NM_012168.6
chr1	11714464	11723384	FBXO44	NM_033182.7
chr1	11724257	11734411	FBXO6	NM_018438.6
chr1	11734537	11751616	MAD2L2	NM_006341.4
chr1	11751767	11785914	DRAXIN	NM_198545.4
chr1	11796193	11810826	AGTRAP	NM_020350.5
chr1	11822250	11849642	C1orf167	NM_001010881.2
chr1	11845780	11866021	MTHFR	NM_005957.5
chr1	11866248	11903187	CLCN6	NM_001286.5
chr1	11905766	11907840	NPPA	NM_006172.4
chr1	11917521	11919002	NPPB	NM_002521.3
chr1	11979648	11986484	KIAA2013	NM_138346.3
chr1	11994774	12035594	PLOD1	NM_000302.4
chr1	12040501	12073565	MFN2	NM_014874.4
chr1	12079555	12092102	MIIP	NM_021933.4
chr1	12123360	12204264	TNFRSF8	NM_001243.5
chr1	12227048	12269277	TNFRSF1B	NM_001066.3
chr1	12290087	12572099	VPS13D	NM_015378.4
chr1	12627939	12678216	DHRS3	NM_004753.7
chr1	12704104	12727087	AADACL4	NM_001013630.2
chr1	12776113	12788727	AADACL3	NM_001103170.3
chr1	12806148	12823847	C1orf158	NM_152290.4
chr1	12833881	12838049	PRAMEF12	NM_001080830.5
chr1	12851546	12856777	PRAMEF1	NM_023013.4
chr1	12884463	12891264	PRAMEF11	NM_001146344.3
chr1	12907230	12908573	HNRNPCL1	NM_001013631.3
chr1	12916941	12921764	PRAMEF2	NM_023014.1
chr1	12939033	12946025	PRAMEF4	NM_001009611.4
chr1	12952727	12958101	PRAMEF10	NM_001039361.4
chr1	12976467	12980300	PRAMEF7	NM_001012277.4
chr1	12998302	13007406	PRAMEF6	NM_001010889.2
chr1	13035499	13039011	PRAMEF18	NM_001099850.2
chr1	13182960	13184326	HNRNPCL2	NM_001136561.3
chr1	13216202	13219583	PRAMEF25	NM_001310134.2
chr1	13359818	13369057	PRAMEF5	NM_001013407.4
chr1	13409135	13414502	PRAMEF33	NM_001291381.1
chr1	13421092	13428191	PRAMEF27	NM_001300891.2
chr1	13447414	13452656	PRAMEF13	NM_001291380.1
chr1	13607700	13611533	PRAMEF8	NM_001012276.3
chr1	13641973	13648990	PRAMEF15	NM_001098376.3
chr1	13668269	13673511	PRAMEF14	NM_001024661.2
chr1	13694899	13698927	PRAMEF19	NM_001099790.4
chr1	13716092	13719089	PRAMEF17	NM_001099851.3
chr1	13736907	13747803	PRAMEF20	NM_001099852.2
chr1	13801441	13840498	LRRC38	NM_001010847.2
chr1	13910252	13944452	PDPN	NM_006474.5
chr1	14026683	14151574	PRDM2	NM_012231.4
chr1	14925181	15444539	KAZN	NM_201628.3
chr1	15479062	15546974	TMEM51	NM_001136218.2
chr1	15563017	15724824	FHAD1	NM_001387888.1
chr1	15736384	15756835	EFHD2	NM_024329.6
chr1	15764939	15775737	CTRC	NM_007272.3
chr1	15783227	15798586	CELA2A	NM_033440.3
chr1	15802599	15817890	CELA2B	NM_015849.3
chr1	15817896	15851285	CASP9	NM_001229.5
chr1	15853343	15898228	DNAJC16	NM_015291.4
chr1	15898194	15911546	AGMAT	NM_024758.5
chr1	15943953	15995539	DDI2	NM_032341.5
chr1	15986208	15988528	RSC1A1	NM_006511.3
chr1	16010815	16061264	PLEKHM2	NM_015164.4
chr1	16062753	16067887	SLC25A34	NM_207348.3
chr1	16068994	16074477	TMEM82	NM_001013641.3
chr1	16083133	16113084	FBLIM1	NM_017556.4
chr1	16133657	16134194	UQCRHL	NM_001089591.1
chr1	16174202	16266951	SPEN	NM_015001.3
chr1	16268364	16302596	ZBTB17	NM_003443.3
chr1	16330731	16335302	SRARP	NM_178840.4
chr1	16340524	16346089	HSPB7	NM_014424.5
chr1	16348531	16360545	CLCNKA	NM_004070.4
chr1	16370277	16383821	CLCNKB	NM_000085.5
chr1	16384264	16400146	FAM131C	NM_182623.3
chr1	16450832	16482564	EPHA2	NM_004431.5
chr1	16524349	16539147	ARHGEF19	NM_153213.5
chr1	16558187	16563678	CPLANE2	NM_030907.4
chr1	16573335	16678975	FBXO42	NM_018994.3
chr1	16693737	16724640	SZRD1	NM_001114600.3
chr1	16722172	16763919	SPATA21	NM_198546.1
chr1	16767219	16786573	NECAP2	NM_018090.5
chr1	16888818	16940059	NBPF1	NM_017940.6
chr1	17081129	17090975	MST1L	NM_001271733.1
chr1	17248426	17299459	CROCC	NM_014675.5
chr1	17300997	17308078	MFAP2	NM_002403.4
chr1	17312453	17338423	ATP13A2	NM_022089.4
chr1	17345217	17380527	SDHB	NM_003000.3
chr1	17393256	17445946	PADI2	NM_007365.3
chr1	17531623	17572502	PADI1	NM_013358.3
chr1	17575593	17610728	PADI3	NM_016233.2
chr1	17634692	17690499	PADI4	NM_012387.3
chr1	17698691	17728195	PADI6	NM_207421.4
chr1	17733256	17766173	RCC2	NM_018715.4
chr1	17866193	18024370	ARHGEF10L	NM_018125.4
chr1	18081828	18153558	ACTL8	NM_030812.3
chr1	18434292	18704977	IGSF21	NM_032880.5
chr1	18807424	18812468	KLHDC7A	NM_152375.3
chr1	18957340	19075360	PAX7	NM_001135254.2
chr1	19166093	19186154	TAS1R2	NM_152232.4
chr1	19197924	19229049	ALDH4A1	NM_003748.4
chr1	19230774	19283170	IFFO2	NM_001136265.2
chr1	19401004	19536760	UBR4	NM_020765.3
chr1	19542154	19578018	EMC1	NM_015047.3
chr1	19578299	19586622	MRTO4	NM_016183.4
chr1	19609067	19615264	AKR7A3	NM_012067.3
chr1	19629202	19638640	AKR7A2	NM_003689.4
chr1	19638820	19658922	SLC66A1	NM_001040125.2
chr1	19665269	19812033	CAPZB	NM_004930.5
chr1	19923473	19956314	MICOS10	NM_001032363.4
chr1	19969723	19984945	NBL1	NM_005380.8
chr1	19991368	20007459	HTR6	NM_000871.3
chr1	20008733	20126409	TMCO4	NM_181719.7
chr1	20140522	20141776	RNF186	NM_019062.2
chr1	20208888	20239438	OTUD3	NM_015207.2
chr1	20246502	20250110	PLA2G2E	NM_014589.3
chr1	20301924	20306927	PLA2G2A	NM_001161729.1
chr1	20396687	20418404	PLA2G5	NM_000929.3
chr1	20438432	20446029	PLA2G2D	NM_012400.4
chr1	20465816	20476874	PLA2G2F	NM_022819.4
chr1	20489548	20513011	PLA2G2C	NM_001367969.2
chr1	20512589	20522543	UBXN10	NM_152376.5
chr1	20617368	20686011	VWA5B1	NM_001039500.3
chr1	20808884	20812703	CAMK2N1	NM_018584.6
chr1	20825941	20834644	MUL1	NM_024544.3
chr1	20879066	20881513	FAM43B	NM_207334.3
chr1	20915590	20945396	CDA	NM_001785.3
chr1	20959951	20978004	PINK1	NM_032409.3
chr1	20978270	20987862	DDOST	NM_005216.5
chr1	20990507	21044500	KIF17	NM_001122819.3
chr1	21046224	21059196	SH2D5	NM_001103161.2
chr1	21066759	21113800	HP1BP3	NM_001372052.1
chr1	21132785	21503390	EIF4G3	NM_003760.4
chr1	21543743	21671997	ECE1	NM_001397.3
chr1	21766630	21811393	NBPF3	NM_032264.6
chr1	21835477	21904903	ALPL	NM_000478.6
chr1	21922714	21995850	RAP1GAP	NM_002885.4
chr1	22004791	22109642	USP48	NM_032236.8
chr1	22138758	22151718	LDLRAD2	NM_001013693.3
chr1	22148737	22263803	HSPG2	NM_005529.7
chr1	22303515	22315847	CELA3B	NM_007352.4
chr1	22328150	22339035	CELA3A	NM_005747.5
chr1	22379202	22427853	CDC42	NM_001791.4
chr1	22443806	22469590	WNT4	NM_030761.5
chr1	22778344	22857647	ZBTB40	NM_014870.4
chr1	22889982	22930088	EPHA8	NM_020526.5
chr1	22962956	22966171	C1QA	NM_015991.4
chr1	22970126	22974601	C1QC	NM_172369.5
chr1	22979729	22988130	C1QB	NM_001378156.1
chr1	23037331	23247993	EPHB2	NM_017449.5
chr1	23279536	23299359	LACTBL1	NM_001289974.2
chr1	23337327	23342345	TEX46	NM_001242521.2
chr1	23345961	23410182	KDM1A	NM_001009999.3
chr1	23410523	23495349	LUZP1	NM_001142546.2
chr1	23518388	23543995	HTR1D	NM_000864.5
chr1	23631181	23670777	HNRNPR	NM_005826.5
chr1	23685941	23696329	ZNF436	NM_001077195.2
chr1	23707402	23751241	TCEA3	NM_003196.3
chr1	23755056	23810672	ASAP3	NM_017707.4
chr1	23832930	23857725	E2F2	NM_004091.4
chr1	23884417	23885992	ID3	NM_002167.5
chr1	24018269	24023325	RPL11	NM_000975.5
chr1	24069856	24088549	ELOA	NM_003198.2
chr1	24104908	24114722	PITHD1	NM_020362.5
chr1	24117635	24122029	LYPLA2	NM_007260.3
chr1	24122089	24127244	GALE	NM_001008216.2
chr1	24128375	24151919	HMGCL	NM_000191.3
chr1	24171567	24194780	FUCA1	NM_000147.5
chr1	24197005	24239852	CNR2	NM_001841.3
chr1	24286318	24289952	PNRC2	NM_017761.4
chr1	24290837	24306817	SRSF10	NM_054016.4
chr1	24382531	24438625	MYOM3	NM_152372.4
chr1	24446261	24469630	IL22RA1	NM_021258.4
chr1	24480658	24513779	IFNLR1	NM_170743.4
chr1	24645847	24690972	GRHL3	NM_198173.3
chr1	24683489	24741534	STPG1	NM_001199013.2
chr1	24740014	24799473	NIPAL3	NM_020448.5
chr1	24828834	24867530	RCAN3	NM_013441.4
chr1	24882578	24935819	NCMAP	NM_001010980.5
chr1	24969793	24999772	SRRM1	NM_005839.4
chr1	25071938	25170812	CLIC4	NM_013943.3
chr1	25226002	25291501	RUNX3	NM_004350.3
chr1	25548767	25558993	SYF2	NM_015484.5
chr1	25568740	25664745	RSRP1	NM_020317.5
chr1	25598977	25656936	RHD	NM_016124.4
chr1	25664825	25688852	TMEM50A	NM_014313.4
chr1	25688740	25747426	RHCE	NM_020485.6
chr1	25757388	25826700	MACO1	NM_018202.6
chr1	25870097	25895377	LDLRAP1	NM_015627.3
chr1	25943282	26110941	MAN1C1	NM_020379.4
chr1	26126684	26144712	SELENON	NM_020451.3
chr1	26146445	26159429	MTFR1L	NM_001099625.2
chr1	26158397	26185948	AUNIP	NM_024037.3
chr1	26187975	26202199	PAQR7	NM_178422.6
chr1	26210670	26233371	STMN1	NM_005563.4
chr1	26286258	26324554	PAFAH2	NM_000437.4
chr1	26348266	26362955	EXTL1	NM_004455.3
chr1	26363743	26372609	SLC30A2	NM_001004434.3
chr1	26377792	26394121	TRIM63	NM_032588.4
chr1	26437653	26452046	PDIK1L	NM_152835.5
chr1	26485570	26490453	FAM110D	NM_024869.3
chr1	26490592	26495454	C1orf232	NM_001364669.2
chr1	26496399	26497364	ZNF593	NM_015871.5
chr1	26503982	26516375	CNKSR1	NM_006314.3
chr1	26517093	26529455	CATSPER4	NM_198137.2
chr1	26560691	26605299	CEP85	NM_001319944.2
chr1	26606577	26608013	SH3BGRL3	NM_031286.4
chr1	26608773	26644756	UBXN11	NM_183008.2
chr1	26644449	26647014	CD52	NM_001803.3
chr1	26648356	26680621	CRYBG2	NM_001039775.4
chr1	26688125	26699285	ZNF683	NM_001114759.3
chr1	26737308	26756219	LIN28A	NM_024674.6
chr1	26758812	26797797	DHDDS	NM_205861.3
chr1	26798931	26803133	HMGN2	NM_005517.4
chr1	26856252	26901516	RPS6KA1	NM_002953.4
chr1	27022506	27108595	ARID1A	NM_006015.6
chr1	27113545	27127150	PIGV	NM_017837.4
chr1	27153179	27184095	ZDHHC18	NM_032283.3
chr1	27189640	27190947	SFN	NM_006142.5
chr1	27202623	27216774	GPN2	NM_018066.4
chr1	27216979	27226958	GPATCH3	NM_022078.3
chr1	27237980	27240466	NR0B2	NM_021969.3
chr1	27248234	27273362	NUDC	NM_006600.4
chr1	27276053	27286959	KDF1	NM_152365.3
chr1	27320183	27327377	TRNP1	NM_001013642.3
chr1	27331511	27339341	TENT5B	NM_052943.4
chr1	27425300	27481616	SLC9A1	NM_003047.5
chr1	27561123	27635127	WDTC1	NM_001276252.2
chr1	27648654	27662891	TMEM222	NM_032125.3
chr1	27668513	27680423	SYTL1	NM_001193308.2
chr1	27681675	27693452	MAP3K6	NM_004672.5
chr1	27695601	27701343	FCN3	NM_003665.4
chr1	27705666	27709823	CD164L2	NM_001330448.1
chr1	27719126	27722318	GPR3	NM_005281.4
chr1	27730734	27816678	WASF2	NM_006990.5
chr1	27860756	27930655	AHDC1	NM_001371928.1
chr1	27938575	27961696	FGR	NM_005248.3
chr1	27992575	27998703	IFI6	NM_002038.4
chr1	28052472	28089627	FAM76A	NM_152660.3
chr1	28099730	28150954	STX12	NM_177424.3
chr1	28157293	28178187	PPP1R8	NM_014110.5
chr1	28199055	28213186	THEMIS2	NM_001105556.3
chr1	28218035	28241308	RPA2	NM_002946.5
chr1	28261511	28285663	SMPDL3B	NM_014474.4
chr1	28286484	28294604	XKR8	NM_018053.4
chr1	28296855	28415121	EYA3	NM_001990.4
chr1	28473677	28520367	PTAFR	NM_000952.5
chr1	28526789	28559540	DNAJC8	NM_014280.3
chr1	28562635	28564611	ATP5IF1	NM_016311.5
chr1	28586029	28609002	SESN2	NM_031459.5
chr1	28655551	28662476	MED18	NM_017638.3
chr1	28696251	28826876	PHACTR4	NM_001048183.3
chr1	28832555	28865501	RCC1	NM_001381865.2
chr1	28879597	28905057	TRNAU1AP	NM_017846.5
chr1	28918777	28923178	RAB42	NM_001193532.3
chr1	28929362	28969579	TAF12	NM_005644.4
chr1	28995296	29045865	GMEB1	NM_001319674.2
chr1	29063136	29096287	YTHDF2	NM_016258.3
chr1	29138682	29197779	OPRD1	NM_000911.4
chr1	29213612	29446553	EPB41	NM_001376013.1
chr1	29445941	29450415	TMEM200B	NM_001003682.4
chr1	29474255	29508412	SRSF4	NM_005626.5
chr1	29519169	29557446	MECR	NM_016011.5
chr1	29563034	29653312	PTPRU	NM_133178.4
chr1	31184124	31196432	MATN1	NM_002379.3
chr1	31205316	31230621	LAPTM5	NM_006762.3
chr1	31342313	31381605	SDC3	NM_014654.4
chr1	31404353	31538564	PUM1	NM_001020658.2
chr1	31652592	31712734	NKAIN1	NM_024522.3
chr1	31732415	31769635	SNRNP40	NM_004814.3
chr1	31769879	31837783	ZCCHC17	NM_016505.4
chr1	31838100	31845923	FABP3	NM_004102.5
chr1	31882624	31907525	SERINC2	NM_178865.5
chr1	32042116	32053287	TINAGL1	NM_022164.3
chr1	32083290	32093214	HCRTR1	NM_001525.3
chr1	32095467	32110477	PEF1	NM_012392.4
chr1	32117864	32169618	COL16A1	NM_001856.4
chr1	32192718	32229941	ADGRB2	NM_001364857.2
chr1	32256023	32281652	SPOCD1	NM_001281987.2
chr1	32372022	32403969	PTP4A2	NM_080391.4
chr1	32479469	32526451	KHDRBS1	NM_006559.3
chr1	32537632	32568464	TMEM39B	NM_018056.4
chr1	32573657	32642164	KPNA6	NM_012316.5
chr1	32645276	32663886	TXLNA	NM_175852.4
chr1	32666196	32670988	CCDC28B	NM_024296.5
chr1	32671272	32674283	IQCC	NM_018134.3
chr1	32674690	32681793	DCDC2B	NM_001099434.2
chr1	32680078	32687954	TMEM234	NM_019118.5
chr1	32687185	32697205	EIF3I	NM_003757.3
chr1	32712823	32714457	FAM167B	NM_032648.3
chr1	32716866	32751766	LCK	NM_005356.5
chr1	32757684	32799227	HDAC1	NM_004964.3
chr1	32799440	32801834	MARCKSL1	NM_023009.7
chr1	32826871	32827844	FAM229A	NM_001167676.1
chr1	32828140	32829913	TSSK3	NM_052841.4
chr1	32830234	32860042	BSDC1	NM_018045.8
chr1	32930673	32962287	ZBTB8B	NM_001145720.2
chr1	33005028	33071542	ZBTB8A	NM_001040441.3
chr1	33086421	33116533	ZBTB8OS	NM_001366278.1
chr1	33116809	33151812	RBBP4	NM_005610.3
chr1	33145507	33168371	SYNC	NM_030786.3
chr1	33207431	33240571	KIAA1522	NM_020888.3
chr1	33240840	33282959	YARS1	NM_003680.4
chr1	33283043	33324480	S100PBP	NM_022753.4
chr1	33327869	33338085	FNDC5	NM_153756.3
chr1	33352092	33360247	HPCA	NM_002143.3
chr1	33360196	33366990	TMEM54	NM_033504.4
chr1	33402050	33430410	RNF19B	NM_001300826.2
chr1	33473541	33502484	AK2	NM_001625.4
chr1	33546754	33589093	AZIN2	NM_052998.4
chr1	33611000	33647644	TRIM62	NM_018207.3
chr1	33722093	33766320	ZNF362	NM_152493.3
chr1	33772367	33786699	A3GALT2	NM_001080438.1
chr1	33789227	33896696	PHC2	NM_001385109.1
chr1	33938246	33967243	ZSCAN20	NM_001377376.1
chr1	33979598	34631443	CSMD2	NM_001281956.2
chr1	34326076	34330392	HMGB4	NM_001379301.1
chr1	34632594	34684732	C1orf94	NM_001134734.2
chr1	35220648	35224113	GJB5	NM_005268.4
chr1	35225341	35227928	GJB4	NM_153212.3
chr1	35246815	35251965	GJB3	NM_024009.3
chr1	35258600	35261348	GJA4	NM_002060.3
chr1	35315963	35325350	SMIM12	NM_138428.6
chr1	35331037	35395251	DLGAP3	NM_001080418.3
chr1	35447127	35450948	TMEM35B	NM_001195156.1
chr1	35451766	35497546	ZMYM6	NM_007167.4
chr1	35525387	35581460	ZMYM1	NM_024772.5
chr1	35641981	35658746	SFPQ	NM_005066.3
chr1	35734310	35887659	ZMYM4	NM_005095.3
chr1	35899093	36023004	KIAA0319L	NM_024874.5
chr1	36023400	36032380	NCDN	NM_014284.3
chr1	36038915	36060929	TFAP2E	NM_178548.4
chr1	36065142	36107127	PSMB2	NM_002794.5
chr1	36179478	36184485	C1orf216	NM_152374.2
chr1	36185814	36235579	CLSPN	NM_022111.4
chr1	36273237	36323491	AGO4	NM_017629.4
chr1	36335362	36396133	AGO1	NM_012199.5
chr1	36396706	36538101	AGO3	NM_024852.4
chr1	36549695	36553876	TEKT2	NM_014466.3
chr1	36554493	36559533	ADPRS	NM_017825.3
chr1	36560840	36590823	COL8A2	NM_005202.4
chr1	36602173	36621654	TRAPPC3	NM_014408.5
chr1	36621761	36646450	MAP7D1	NM_001286366.2
chr1	36690044	36770958	THRAP3	NM_005119.4
chr1	36771969	36786948	SH3D21	NM_001162530.2
chr1	36787631	36789755	EVA1B	NM_001304762.2
chr1	36805229	36851525	STK40	NM_001282547.2
chr1	36859037	36863509	LSM10	NM_032881.3
chr1	36883507	36916052	OSCP1	NM_145047.5
chr1	36921319	36929985	MRPS15	NM_031280.4
chr1	36931644	36948915	CSF3R	NM_000760.4
chr1	37261128	37500116	GRIK3	NM_000831.4
chr1	37940181	37949978	ZC3H12A	NM_025079.3
chr1	37955594	37980367	MEAF6	NM_001270875.3
chr1	38000050	38019894	SNIP1	NM_024700.4
chr1	38022541	38032458	DNALI1	NM_003462.5
chr1	38032417	38061538	GNL2	NM_013285.3
chr1	38076951	38100564	RSPO1	NM_001242908.2
chr1	38147242	38157914	C1orf109	NM_001350770.2
chr1	38158188	38175391	CDCA8	NM_001256875.2
chr1	38181648	38230792	EPHA10	NM_001099439.2
chr1	38259519	38266805	MANEAL	NM_001113482.2
chr1	38268617	38273880	YRDC	NM_024640.4
chr1	38273462	38275126	C1orf122	NM_198446.3
chr1	38275246	38325264	MTF1	NM_005955.3
chr1	38326369	38412729	INPP5B	NM_005540.3
chr1	38422647	38455694	SF3A3	NM_006802.4
chr1	38462442	38471186	FHL3	NM_004468.5
chr1	38478406	38490492	UTP11	NM_016037.4
chr1	38509501	38512465	POU3F1	NM_002699.4
chr1	39303870	39325444	RRAGC	NM_022157.4
chr1	39328162	39339050	MYCBP	NM_012333.5
chr1	39339741	39347259	GJA9	NM_030772.5
chr1	39351479	39407502	RHBDL2	NM_017821.5
chr1	39456948	39471731	AKIRIN1	NM_024595.3
chr1	39492022	39500287	NDUFS5	NM_004552.3
chr1	39549839	39952810	MACF1	NM_012090.5
chr1	39874745	39882154	KIAA0754	NM_015038.2
chr1	39957308	39995541	BMP8A	NM_181809.4
chr1	40026488	40042462	PABPC4	NM_001135653.2
chr1	40089107	40105315	HEYL	NM_014571.4
chr1	40116901	40137779	NT5C1A	NM_032526.3
chr1	40144320	40157105	HPCAL4	NM_016257.4
chr1	40204554	40229586	PPIE	NM_006112.4
chr1	40222854	40254537	BMP8B	NM_001720.5
chr1	40235195	40237020	OXCT2	NM_022120.2
chr1	40303782	40349183	TRIT1	NM_017646.6
chr1	40361100	40367589	MYCL	NM_001033081.3
chr1	40420817	40435628	MFSD2A	NM_032793.5
chr1	40505912	40538320	CAP1	NM_006367.4
chr1	40537133	40562924	PPT1	NM_000310.4
chr1	40627059	40706593	RLF	NM_012421.4
chr1	40713609	40717356	TMCO2	NM_001008740.4
chr1	40723908	40759852	ZMPSTE24	NM_005857.5
